rank,scheme_name,category,fund_house,plan,return_3yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,expense_ratio_pct,max_drawdown_pct,composite_score
20,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,DSP Mutual Fund,Regular,12.82,0.46,0.76,1.82,0.91,1.54,14.84,53.11
21,Axis Bluechip Fund - Direct - Growth,Large Cap,Axis Mutual Fund,Direct,12.14,0.13,0.22,1.43,0.87,0.75,21.75,52.61
22,DSP Small Cap Fund - Regular - Growth,Small Cap,DSP Mutual Fund,Regular,20.08,0.95,1.62,0.69,0.98,1.52,31.17,52.23
23,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,HDFC Mutual Fund,Direct,15.29,0.3,0.51,0.9,1.04,0.78,21.12,52.15
24,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,HDFC Mutual Fund,Regular,7.37,-0.57,-0.94,1.98,0.44,0.56,4.31,50.48
25,Nippon India Small Cap Fund - Regular - Growth,Small Cap,Nippon India MF,Regular,20.15,0.45,0.75,0.8,1.03,1.53,23.34,49.69
26,Nippon India Large Cap Fund - Regular - Growth,Large Cap,Nippon India MF,Regular,14.0,1.08,1.85,0.86,0.88,1.51,17.41,48.74
27,Kotak Liquid Fund - Regular - Growth,Liquid,Kotak Mahindra MF,Regular,6.18,-0.09,-0.19,1.52,0.47,0.6,0.12,47.8
28,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,SBI Mutual Fund,Regular,12.36,1.21,2.14,0.87,0.89,1.54,15.01,47.66
29,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,Mirae Asset MF,Regular,13.58,1.23,2.15,0.54,0.98,1.6,16.4,44.3
30,UTI Nifty 50 Index Fund - Regular - Growth,Index,UTI Mutual Fund,Regular,12.1,0.82,1.44,0.93,0.9,1.57,10.86,44.13
31,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,SBI Mutual Fund,Regular,6.07,-0.23,-0.38,1.6,0.22,0.77,4.33,44.02
32,Kotak Bluechip Fund - Regular - Growth,Large Cap,Kotak Mahindra MF,Regular,12.25,0.49,0.86,1.27,0.93,1.59,17.57,43.81
33,ICICI Pru Value Discovery Fund - Regular - Growth,Value,ICICI Prudential MF,Regular,14.76,0.65,1.1,0.55,0.92,1.41,19.83,41.95
34,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,ICICI Prudential MF,Regular,11.54,0.8,1.34,0.66,0.96,1.42,13.9,40.8
35,Axis Bluechip Fund - Regular - Growth,Large Cap,Axis Mutual Fund,Regular,11.84,0.03,0.05,1.41,0.91,1.64,14.4,39.89
36,UTI Mid Cap Fund - Regular - Growth,Mid Cap,UTI Mutual Fund,Regular,15.61,-0.21,-0.35,1.12,0.92,1.51,28.0,38.7
37,Axis Small Cap Fund - Regular - Growth,Small Cap,Axis Mutual Fund,Regular,20.98,-0.08,-0.13,0.51,1.0,1.38,51.68,37.94
38,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,Nippon India MF,Regular,5.31,-0.36,-0.61,0.89,0.37,0.55,8.32,33.95
39,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,HDFC Mutual Fund,Regular,14.84,-0.2,-0.35,0.78,0.97,1.55,24.73,32.99
40,ABSL Liquid Fund - Regular - Growth,Liquid,Aditya Birla Sun Life MF,Regular,5.14,-0.82,-1.68,1.18,0.43,0.79,0.16,30.8
