investor_id,total_sips,avg_gap_days,max_gap_days,total_sip_amount_inr,status
INV000950,6,91.0,215.0,37182,AT_RISK
INV002984,6,91.0,200.0,49158,AT_RISK
INV003492,6,90.8,162.0,39990,AT_RISK
INV004421,6,90.8,221.0,74958,AT_RISK
INV000297,6,90.6,163.0,22338,AT_RISK
INV004392,6,90.4,200.0,140197,AT_RISK
INV003604,6,90.2,188.0,71928,AT_RISK
INV002090,6,90.2,231.0,38375,AT_RISK
INV003545,6,90.0,210.0,34569,AT_RISK
INV000783,6,89.8,187.0,138175,AT_RISK
INV002903,6,89.6,176.0,34145,AT_RISK
INV002606,6,89.6,248.0,73666,AT_RISK
INV003936,6,89.6,227.0,111274,AT_RISK
INV002154,6,89.4,175.0,42587,AT_RISK
INV003260,6,89.4,247.0,66384,AT_RISK
INV000145,6,89.4,282.0,127034,AT_RISK
INV001741,6,89.4,260.0,94729,AT_RISK
INV002547,6,89.0,181.0,19927,AT_RISK
INV000291,6,89.0,196.0,76178,AT_RISK
INV003521,6,89.0,183.0,46547,AT_RISK
INV003329,6,89.0,230.0,113204,AT_RISK
INV003733,6,88.8,174.0,14893,AT_RISK
INV001418,6,88.6,187.0,27688,AT_RISK
INV000597,6,88.6,198.0,82488,AT_RISK
INV000710,6,88.6,264.0,62975,AT_RISK
INV001997,6,88.6,168.0,23078,AT_RISK
INV001641,6,88.4,168.0,77129,AT_RISK
INV000243,6,88.2,137.0,58145,AT_RISK
INV002743,6,88.2,190.0,40865,AT_RISK
INV004146,6,88.2,253.0,87690,AT_RISK
INV003526,6,88.2,224.0,30478,AT_RISK
INV002434,6,88.2,217.0,38421,AT_RISK
INV000133,6,88.2,265.0,74695,AT_RISK
INV004015,6,88.0,190.0,9734,AT_RISK
INV003868,6,87.6,264.0,104999,AT_RISK
INV004127,6,87.6,190.0,24949,AT_RISK
INV002586,6,87.2,168.0,73304,AT_RISK
INV004523,6,87.2,127.0,50318,AT_RISK
INV004247,6,87.2,274.0,72050,AT_RISK
INV004913,6,87.0,156.0,93099,AT_RISK
INV001954,6,86.8,273.0,38164,AT_RISK
INV003744,6,86.8,187.0,23676,AT_RISK
INV000418,6,86.8,238.0,113497,AT_RISK
INV004517,6,86.6,185.0,23579,AT_RISK
INV004174,6,86.6,195.0,189509,AT_RISK
INV003344,6,86.6,190.0,30966,AT_RISK
INV002989,6,86.6,182.0,97001,AT_RISK
INV003095,6,86.6,175.0,64248,AT_RISK
INV000625,6,86.4,134.0,23397,AT_RISK
INV001912,6,86.4,256.0,72585,AT_RISK
INV001507,6,86.2,167.0,24004,AT_RISK
INV002476,6,86.0,235.0,74851,AT_RISK
INV001419,6,85.8,137.0,67428,AT_RISK
INV001982,6,85.8,289.0,118849,AT_RISK
INV003376,6,85.8,199.0,80609,AT_RISK
INV002872,6,85.6,199.0,46749,AT_RISK
INV003958,6,85.6,133.0,67157,AT_RISK
INV000004,6,85.4,265.0,48256,AT_RISK
INV003865,7,85.2,235.0,47194,AT_RISK
INV003262,6,85.2,162.0,140022,AT_RISK
INV000299,6,85.2,240.0,45557,AT_RISK
INV002627,6,85.0,182.0,40609,AT_RISK
INV002284,6,85.0,277.0,113616,AT_RISK
INV004123,6,85.0,138.0,74440,AT_RISK
INV001317,6,84.8,162.0,29592,AT_RISK
INV002001,6,84.8,335.0,35997,AT_RISK
INV000836,6,84.8,123.0,127974,AT_RISK
INV004308,7,84.7,244.0,78626,AT_RISK
INV002961,7,84.7,231.0,116671,AT_RISK
INV003422,7,84.7,167.0,84910,AT_RISK
INV004434,6,84.6,156.0,79432,AT_RISK
INV003247,6,84.6,206.0,94982,AT_RISK
INV000747,6,84.6,205.0,86939,AT_RISK
INV003427,6,84.2,266.0,117717,AT_RISK
INV004598,6,84.2,195.0,57630,AT_RISK
INV003972,6,84.2,224.0,128157,AT_RISK
INV001718,6,84.0,237.0,151909,AT_RISK
INV002038,6,84.0,202.0,89042,AT_RISK
INV004451,6,84.0,137.0,88776,AT_RISK
INV004562,6,83.8,158.0,22466,AT_RISK
INV002681,7,83.7,161.0,77813,AT_RISK
INV000175,7,83.7,170.0,71320,AT_RISK
INV000543,7,83.7,218.0,162711,AT_RISK
INV000701,7,83.7,298.0,51486,AT_RISK
INV000082,7,83.7,351.0,27594,AT_RISK
INV004692,6,83.6,190.0,68610,AT_RISK
INV001689,6,83.6,153.0,59823,AT_RISK
INV001206,6,83.6,190.0,76395,AT_RISK
INV004763,7,83.5,184.0,49983,AT_RISK
INV001569,6,83.4,314.0,84525,AT_RISK
INV004665,6,83.4,137.0,28833,AT_RISK
INV001961,6,83.4,234.0,87250,AT_RISK
INV000103,6,83.4,232.0,20675,AT_RISK
INV002417,7,83.3,190.0,126729,AT_RISK
INV001978,6,83.2,112.0,33387,AT_RISK
INV000396,6,83.2,153.0,46049,AT_RISK
INV001699,6,83.2,183.0,103956,AT_RISK
INV003231,7,83.0,253.0,61212,AT_RISK
INV000759,7,83.0,156.0,44038,AT_RISK
INV001041,7,83.0,195.0,72624,AT_RISK
INV004314,6,83.0,195.0,112485,AT_RISK
INV004764,6,83.0,144.0,35426,AT_RISK
INV000072,6,83.0,247.0,49372,AT_RISK
INV002134,7,82.7,180.0,29028,AT_RISK
INV003144,7,82.5,243.0,54671,AT_RISK
INV003014,6,82.4,144.0,203009,AT_RISK
INV003480,6,82.4,211.0,37752,AT_RISK
INV000407,6,82.4,157.0,112123,AT_RISK
INV002835,7,82.3,233.0,66597,AT_RISK
INV002909,7,82.3,263.0,78147,AT_RISK
INV004412,7,82.3,173.0,52390,AT_RISK
INV002495,6,82.2,174.0,64609,AT_RISK
INV003813,6,82.2,122.0,64566,AT_RISK
INV000128,6,82.0,181.0,38273,AT_RISK
INV003896,6,82.0,255.0,42369,AT_RISK
INV004216,7,82.0,195.0,67522,AT_RISK
INV001691,6,82.0,254.0,40648,AT_RISK
INV002567,6,82.0,127.0,51780,AT_RISK
INV001251,6,82.0,223.0,142919,AT_RISK
INV002769,7,82.0,141.0,149870,AT_RISK
INV004845,6,81.8,197.0,90582,AT_RISK
INV003757,7,81.8,156.0,54152,AT_RISK
INV004293,6,81.8,142.0,112638,AT_RISK
INV004367,6,81.6,194.0,144139,AT_RISK
INV004992,7,81.5,176.0,71260,AT_RISK
INV003222,7,81.5,190.0,46924,AT_RISK
INV000599,7,81.5,171.0,103758,AT_RISK
INV003713,7,81.5,161.0,123416,AT_RISK
INV004457,6,81.4,188.0,76498,AT_RISK
INV001115,6,81.4,290.0,51387,AT_RISK
INV002809,6,81.4,276.0,27992,AT_RISK
INV000081,7,81.3,167.0,54704,AT_RISK
INV004986,7,81.3,185.0,68422,AT_RISK
INV002070,7,81.3,118.0,70993,AT_RISK
INV001690,7,81.2,114.0,62532,AT_RISK
INV000724,6,81.2,227.0,33281,AT_RISK
INV001310,6,81.2,232.0,48861,AT_RISK
INV003825,6,81.2,99.0,81324,AT_RISK
INV002758,6,81.0,263.0,100322,AT_RISK
INV004452,7,81.0,180.0,122309,AT_RISK
INV003151,6,81.0,146.0,38290,AT_RISK
INV003310,6,80.8,154.0,33878,AT_RISK
INV004650,6,80.8,143.0,52840,AT_RISK
INV001923,7,80.7,106.0,42011,AT_RISK
INV002466,7,80.7,270.0,96619,AT_RISK
INV002761,6,80.6,312.0,61101,AT_RISK
INV000545,6,80.6,181.0,48548,AT_RISK
INV001548,6,80.6,197.0,71244,AT_RISK
INV001434,6,80.6,178.0,73116,AT_RISK
INV001482,6,80.6,280.0,84250,AT_RISK
INV002684,6,80.6,266.0,81047,AT_RISK
INV004364,6,80.6,173.0,29363,AT_RISK
INV001161,6,80.6,159.0,146262,AT_RISK
INV004877,7,80.5,276.0,74162,AT_RISK
INV003562,7,80.5,165.0,77371,AT_RISK
INV003196,7,80.3,319.0,34448,AT_RISK
INV000888,7,80.3,166.0,98413,AT_RISK
INV002101,6,80.2,248.0,71140,AT_RISK
INV003709,6,80.2,181.0,52354,AT_RISK
INV003685,6,80.2,132.0,142912,AT_RISK
INV002828,6,80.0,211.0,24496,AT_RISK
INV000926,6,80.0,111.0,67012,AT_RISK
INV001332,7,80.0,179.0,56992,AT_RISK
INV002700,7,79.8,140.0,40488,AT_RISK
INV000979,6,79.8,115.0,141450,AT_RISK
INV004271,6,79.8,157.0,65605,AT_RISK
INV001178,7,79.7,140.0,37864,AT_RISK
INV001797,7,79.7,132.0,45355,AT_RISK
INV003712,6,79.6,163.0,64551,AT_RISK
INV004614,6,79.6,117.0,64197,AT_RISK
INV003037,7,79.5,300.0,42399,AT_RISK
INV001428,6,79.4,174.0,72032,AT_RISK
INV004896,6,79.4,252.0,125806,AT_RISK
INV002574,6,79.4,139.0,98204,AT_RISK
INV001969,6,79.2,163.0,22578,AT_RISK
INV004804,6,79.2,137.0,105080,AT_RISK
INV001356,6,79.2,191.0,39847,AT_RISK
INV003060,7,79.0,135.0,69534,AT_RISK
INV001550,7,79.0,191.0,85924,AT_RISK
INV001472,6,79.0,141.0,119937,AT_RISK
INV003395,6,79.0,192.0,56160,AT_RISK
INV003660,6,79.0,164.0,67446,AT_RISK
INV003705,6,78.8,152.0,114828,AT_RISK
INV003633,6,78.8,119.0,123491,AT_RISK
INV003811,7,78.7,141.0,133025,AT_RISK
INV003054,7,78.7,209.0,76249,AT_RISK
INV001376,7,78.7,181.0,66059,AT_RISK
INV001333,7,78.7,185.0,11779,AT_RISK
INV001651,7,78.7,130.0,162293,AT_RISK
INV002051,6,78.6,159.0,101112,AT_RISK
INV003710,6,78.6,118.0,86512,AT_RISK
INV002429,6,78.6,216.0,95082,AT_RISK
INV001744,7,78.5,155.0,84479,AT_RISK
INV001375,7,78.5,176.0,46716,AT_RISK
INV004860,6,78.4,189.0,42106,AT_RISK
INV004196,7,78.3,219.0,129129,AT_RISK
INV000581,7,78.3,160.0,58863,AT_RISK
INV003593,6,78.2,166.0,94754,AT_RISK
INV004633,7,78.2,189.0,67555,AT_RISK
INV002119,6,78.0,195.0,82710,AT_RISK
INV002155,6,78.0,190.0,24270,AT_RISK
INV002240,7,77.8,266.0,28229,AT_RISK
INV000499,7,77.8,157.0,127344,AT_RISK
INV002260,6,77.8,235.0,43224,AT_RISK
INV004324,7,77.7,173.0,66304,AT_RISK
INV004688,6,77.6,181.0,25122,AT_RISK
INV003876,6,77.6,160.0,105794,AT_RISK
INV003556,6,77.6,129.0,37784,AT_RISK
INV002582,6,77.4,173.0,18333,AT_RISK
INV003161,6,77.4,118.0,45870,AT_RISK
INV000195,6,77.4,114.0,21739,AT_RISK
INV001092,7,77.3,186.0,75632,AT_RISK
INV000429,6,77.2,187.0,117284,AT_RISK
INV003672,6,77.2,180.0,129739,AT_RISK
INV003736,7,77.2,120.0,58959,AT_RISK
INV003849,6,77.2,146.0,155813,AT_RISK
INV001220,7,77.2,104.0,18410,AT_RISK
INV000392,7,77.2,205.0,39530,AT_RISK
INV002671,7,77.2,163.0,121426,AT_RISK
INV004191,7,77.2,310.0,45090,AT_RISK
INV002351,6,77.2,204.0,66039,AT_RISK
INV000803,7,77.2,147.0,75412,AT_RISK
INV000539,7,77.0,153.0,107371,AT_RISK
INV000363,7,77.0,153.0,59677,AT_RISK
INV002628,6,77.0,322.0,42616,AT_RISK
INV001400,6,76.8,266.0,111893,AT_RISK
INV003134,7,76.8,172.0,111805,AT_RISK
INV001130,7,76.8,131.0,139695,AT_RISK
INV004468,7,76.8,154.0,84516,AT_RISK
INV003191,6,76.8,138.0,31967,AT_RISK
INV003697,7,76.7,163.0,97774,AT_RISK
INV002622,7,76.7,244.0,64167,AT_RISK
INV002724,6,76.6,187.0,94701,AT_RISK
INV002859,7,76.5,198.0,102010,AT_RISK
INV003779,6,76.4,160.0,17001,AT_RISK
INV002327,6,76.4,215.0,17936,AT_RISK
INV003531,6,76.4,185.0,71480,AT_RISK
INV002531,7,76.3,182.0,30854,AT_RISK
INV004865,7,76.3,143.0,103440,AT_RISK
INV002786,7,76.3,124.0,94391,AT_RISK
INV000563,7,76.3,198.0,59358,AT_RISK
INV001291,6,76.2,181.0,118076,AT_RISK
INV000138,6,76.2,220.0,156066,AT_RISK
INV004285,7,76.2,169.0,92708,AT_RISK
INV001870,7,76.0,164.0,151119,AT_RISK
INV001955,6,76.0,199.0,80106,AT_RISK
INV002852,6,75.8,207.0,72731,AT_RISK
INV003696,6,75.8,190.0,110522,AT_RISK
INV000310,7,75.8,164.0,46368,AT_RISK
INV002674,6,75.8,153.0,109896,AT_RISK
INV002256,6,75.6,115.0,86659,AT_RISK
INV004636,6,75.6,160.0,130293,AT_RISK
INV000920,6,75.6,220.0,97652,AT_RISK
INV003592,6,75.6,202.0,69765,AT_RISK
INV004916,7,75.5,162.0,93354,AT_RISK
INV000014,7,75.3,128.0,140315,AT_RISK
INV004984,7,75.3,177.0,94301,AT_RISK
INV000761,7,75.2,173.0,115474,AT_RISK
INV004066,7,75.2,319.0,60661,AT_RISK
INV003379,7,75.2,268.0,53335,AT_RISK
INV000635,6,75.0,240.0,30163,AT_RISK
INV000779,6,75.0,153.0,12215,AT_RISK
INV001579,7,75.0,193.0,133855,AT_RISK
INV000075,6,74.8,102.0,147761,AT_RISK
INV000056,6,74.8,161.0,60977,AT_RISK
INV003074,6,74.8,123.0,78967,AT_RISK
INV002186,7,74.8,167.0,110455,AT_RISK
INV002543,7,74.7,116.0,90368,AT_RISK
INV003720,6,74.6,116.0,23110,AT_RISK
INV002010,6,74.6,103.0,111364,AT_RISK
INV004037,6,74.6,137.0,45922,AT_RISK
INV002521,6,74.6,206.0,46638,AT_RISK
INV002772,7,74.5,168.0,59984,AT_RISK
INV003448,7,74.5,200.0,22057,AT_RISK
INV004502,7,74.5,165.0,66742,AT_RISK
INV000562,6,74.4,197.0,48292,AT_RISK
INV002863,6,74.4,199.0,64141,AT_RISK
INV001180,6,74.4,198.0,104216,AT_RISK
INV003267,6,74.4,197.0,20825,AT_RISK
INV001943,6,74.4,171.0,63792,AT_RISK
INV003514,6,74.2,172.0,90699,AT_RISK
INV000593,6,74.2,179.0,31078,AT_RISK
INV002342,6,74.2,212.0,43134,AT_RISK
INV002643,6,74.2,229.0,32343,AT_RISK
INV003785,6,74.2,160.0,113979,AT_RISK
INV003040,6,74.0,194.0,51162,AT_RISK
INV004716,7,74.0,197.0,67590,AT_RISK
INV003775,6,74.0,151.0,112218,AT_RISK
INV004069,6,74.0,196.0,46504,AT_RISK
INV003484,6,73.8,333.0,108256,AT_RISK
INV003435,7,73.8,140.0,94339,AT_RISK
INV003043,7,73.8,131.0,78142,AT_RISK
INV000774,7,73.7,169.0,83715,AT_RISK
INV002913,7,73.7,168.0,83828,AT_RISK
INV004005,7,73.7,314.0,105889,AT_RISK
INV002236,7,73.7,119.0,38246,AT_RISK
INV002006,6,73.6,157.0,56278,AT_RISK
INV002706,6,73.6,133.0,69684,AT_RISK
INV004091,6,73.6,240.0,18538,AT_RISK
INV002827,6,73.6,200.0,31630,AT_RISK
INV004403,6,73.6,150.0,14286,AT_RISK
INV002150,6,73.6,216.0,57183,AT_RISK
INV004847,7,73.5,281.0,51384,AT_RISK
INV000873,7,73.5,299.0,44839,AT_RISK
INV000540,7,73.5,123.0,78276,AT_RISK
INV003314,7,73.5,210.0,179149,AT_RISK
INV000319,7,73.5,201.0,40143,AT_RISK
INV000974,7,73.5,143.0,40022,AT_RISK
INV003430,6,73.4,104.0,54715,AT_RISK
INV004208,6,73.4,156.0,57000,AT_RISK
INV003034,6,73.4,118.0,92731,AT_RISK
INV000466,7,73.3,135.0,125151,AT_RISK
INV001274,7,73.3,161.0,56609,AT_RISK
INV004473,7,73.3,152.0,39115,AT_RISK
INV004958,7,73.2,135.0,146343,AT_RISK
INV000444,6,73.2,129.0,76737,AT_RISK
INV003424,7,73.2,124.0,60522,AT_RISK
INV004119,6,73.2,237.0,82689,AT_RISK
INV001454,7,73.0,176.0,37667,AT_RISK
INV002177,7,73.0,330.0,93321,AT_RISK
INV000161,7,73.0,213.0,44287,AT_RISK
INV002905,6,73.0,221.0,41724,AT_RISK
INV004770,8,72.9,146.0,133901,AT_RISK
INV000719,7,72.8,185.0,131252,AT_RISK
INV001831,6,72.8,181.0,47766,AT_RISK
INV000321,7,72.8,204.0,91225,AT_RISK
INV004288,7,72.8,223.0,56841,AT_RISK
INV002420,6,72.8,107.0,54588,AT_RISK
INV002891,8,72.7,166.0,91856,AT_RISK
INV003702,7,72.7,118.0,99074,AT_RISK
INV000074,8,72.6,191.0,106669,AT_RISK
INV003815,7,72.5,217.0,67344,AT_RISK
INV001683,7,72.5,186.0,80088,AT_RISK
INV001359,7,72.5,313.0,109856,AT_RISK
INV004349,7,72.5,159.0,148067,AT_RISK
INV002458,6,72.4,232.0,80628,AT_RISK
INV003380,6,72.4,155.0,35744,AT_RISK
INV001023,8,72.4,202.0,38036,AT_RISK
INV004357,8,72.4,305.0,52555,AT_RISK
INV002750,6,72.4,254.0,54778,AT_RISK
INV003793,7,72.3,203.0,134386,AT_RISK
INV004741,7,72.3,157.0,75811,AT_RISK
INV004228,7,72.3,112.0,93293,AT_RISK
INV000754,7,72.3,103.0,97616,AT_RISK
INV004787,7,72.3,140.0,59162,AT_RISK
INV003336,7,72.3,133.0,134860,AT_RISK
INV003711,6,72.2,145.0,87930,AT_RISK
INV000830,6,72.2,165.0,77141,AT_RISK
INV003210,6,72.2,112.0,18851,AT_RISK
INV003580,7,72.2,227.0,64406,AT_RISK
INV002879,7,72.2,125.0,67219,AT_RISK
INV004147,6,72.2,136.0,66900,AT_RISK
INV001547,7,72.2,119.0,75405,AT_RISK
INV004581,8,72.1,234.0,22116,AT_RISK
INV003619,6,72.0,113.0,31477,AT_RISK
INV000553,6,72.0,172.0,54698,AT_RISK
INV002555,7,72.0,172.0,87655,AT_RISK
INV001625,6,72.0,209.0,15000,AT_RISK
INV004672,7,72.0,127.0,96541,AT_RISK
INV002315,7,71.8,174.0,71574,AT_RISK
INV000497,7,71.8,191.0,72087,AT_RISK
INV002824,7,71.8,223.0,129424,AT_RISK
INV001298,7,71.8,158.0,13160,AT_RISK
INV004038,7,71.7,207.0,197810,AT_RISK
INV002280,7,71.7,182.0,48070,AT_RISK
INV003885,6,71.6,281.0,81864,AT_RISK
INV000575,6,71.6,155.0,43192,AT_RISK
INV003897,6,71.6,144.0,83553,AT_RISK
INV003824,7,71.5,196.0,89175,AT_RISK
INV004761,6,71.4,139.0,42001,AT_RISK
INV002530,8,71.4,175.0,74111,AT_RISK
INV004589,6,71.4,225.0,114379,AT_RISK
INV003830,6,71.4,115.0,138223,AT_RISK
INV004232,6,71.4,232.0,31031,AT_RISK
INV001432,6,71.4,175.0,22656,AT_RISK
INV002208,7,71.3,142.0,113907,AT_RISK
INV004079,7,71.3,164.0,78640,AT_RISK
INV003693,7,71.3,234.0,102514,AT_RISK
INV001885,6,71.2,128.0,16314,AT_RISK
INV004179,6,71.2,129.0,81566,AT_RISK
INV003044,7,71.2,237.0,60913,AT_RISK
INV002107,8,71.1,298.0,100667,AT_RISK
INV004997,7,71.0,248.0,128346,AT_RISK
INV000132,6,71.0,139.0,88403,AT_RISK
INV003564,8,71.0,292.0,196080,AT_RISK
INV002219,8,70.9,166.0,41599,AT_RISK
INV003670,8,70.9,160.0,83061,AT_RISK
INV001223,7,70.8,175.0,81600,AT_RISK
INV002799,6,70.8,129.0,77732,AT_RISK
INV004925,7,70.8,105.0,51377,AT_RISK
INV004647,7,70.7,138.0,39400,AT_RISK
INV002732,8,70.7,151.0,96854,AT_RISK
INV003940,7,70.7,151.0,88836,AT_RISK
INV003658,8,70.7,143.0,44354,AT_RISK
INV000210,8,70.7,163.0,93572,AT_RISK
INV004889,7,70.7,159.0,65286,AT_RISK
INV002766,6,70.6,151.0,73612,AT_RISK
INV002736,6,70.6,323.0,64757,AT_RISK
INV000259,6,70.6,165.0,81938,AT_RISK
INV000045,6,70.6,109.0,114438,AT_RISK
INV003487,6,70.6,155.0,96051,AT_RISK
INV001351,7,70.5,208.0,146308,AT_RISK
INV000469,7,70.5,183.0,34180,AT_RISK
INV002182,7,70.5,148.0,127872,AT_RISK
INV002485,6,70.4,136.0,58588,AT_RISK
INV003607,6,70.4,253.0,24597,AT_RISK
INV002202,8,70.4,276.0,16013,AT_RISK
INV000008,6,70.4,165.0,72853,AT_RISK
INV000483,8,70.4,252.0,142115,AT_RISK
INV000507,7,70.2,249.0,58920,AT_RISK
INV002370,7,70.2,237.0,89876,AT_RISK
INV000554,6,70.2,171.0,56741,AT_RISK
INV003228,7,70.2,256.0,88333,AT_RISK
INV003745,6,70.2,183.0,26414,AT_RISK
INV000256,6,70.2,155.0,31902,AT_RISK
INV002373,8,70.1,154.0,177377,AT_RISK
INV003047,8,70.1,215.0,137083,AT_RISK
INV002640,7,70.0,153.0,66928,AT_RISK
INV002490,8,70.0,125.0,221876,AT_RISK
INV000304,7,70.0,204.0,79554,AT_RISK
INV004825,7,70.0,141.0,49187,AT_RISK
INV004401,8,69.9,216.0,104242,AT_RISK
INV000287,7,69.8,301.0,64351,AT_RISK
INV001242,6,69.8,128.0,26658,AT_RISK
INV004270,7,69.7,204.0,41505,AT_RISK
INV004661,8,69.7,181.0,73293,AT_RISK
INV001724,7,69.7,134.0,87580,AT_RISK
INV000440,8,69.6,162.0,33647,AT_RISK
INV003022,6,69.6,123.0,108990,AT_RISK
INV004780,7,69.5,154.0,69763,AT_RISK
INV000095,6,69.4,155.0,92823,AT_RISK
INV001026,6,69.4,132.0,51600,AT_RISK
INV001326,8,69.4,182.0,103082,AT_RISK
INV004212,7,69.3,169.0,131156,AT_RISK
INV001752,7,69.3,170.0,50982,AT_RISK
INV003078,7,69.2,126.0,55176,AT_RISK
INV003946,7,69.2,147.0,65153,AT_RISK
INV002232,7,69.2,174.0,105171,AT_RISK
INV000793,8,69.1,149.0,105129,AT_RISK
INV004871,8,69.1,170.0,163615,AT_RISK
INV001536,7,69.0,189.0,108107,AT_RISK
INV002034,8,69.0,166.0,75286,AT_RISK
INV000196,7,69.0,176.0,80685,AT_RISK
INV004413,8,69.0,142.0,86246,AT_RISK
INV003211,7,69.0,104.0,73285,AT_RISK
INV003673,8,68.9,160.0,63876,AT_RISK
INV003611,7,68.8,228.0,97349,AT_RISK
INV002019,6,68.8,117.0,50866,AT_RISK
INV000630,7,68.7,161.0,55182,AT_RISK
INV003962,8,68.7,302.0,199896,AT_RISK
INV001021,7,68.7,186.0,54295,AT_RISK
INV004959,6,68.6,193.0,32047,AT_RISK
INV003880,8,68.6,193.0,52016,AT_RISK
INV001401,6,68.6,197.0,39421,AT_RISK
INV002228,6,68.6,109.0,75215,AT_RISK
INV001921,8,68.6,225.0,94294,AT_RISK
INV003912,6,68.6,195.0,11911,AT_RISK
INV003707,6,68.6,152.0,152934,AT_RISK
INV000039,6,68.6,129.0,99338,AT_RISK
INV001238,7,68.5,220.0,45560,AT_RISK
INV003844,7,68.5,197.0,80033,AT_RISK
INV000427,7,68.5,116.0,106145,AT_RISK
INV002121,7,68.5,197.0,69342,AT_RISK
INV000263,8,68.4,271.0,157678,AT_RISK
INV001715,8,68.3,188.0,103613,AT_RISK
INV004640,7,68.3,202.0,41628,AT_RISK
INV002357,7,68.3,240.0,77648,AT_RISK
INV004085,7,68.3,260.0,104748,AT_RISK
INV001329,6,68.2,97.0,60331,AT_RISK
